titles,code
Influence in Early Electronic Dance Music: An Audio Content Analysis Investigation.,
Association Mining of Folk Music Genres and Toponyms.,
Characterization of Embellishments in Ney Performances of Makam Music in Turkey.,
Cross-cultural Music Mood Classification: A Comparison on English and Chinese Songs.,
Towards a (Better) Definition of the Description of Annotated MIR Corpora.,
Modeling Musical Mood From Audio Features and Listening Context on an In-Situ Data Set.,
Analyzing Drum Patterns Using Conditional Deep Belief Networks.,True
N-gram Based Statistical Makam Detection on Makam Music in Turkey Using Symbolic Data.,
Evaluating the Online Capabilities of Onset Detection Methods.,
Structure-Based Audio Fingerprinting for Music Retrieval.,
Bridging Printed Music and Audio Through Alignment Using a Mid-level Score Representation.,
Real-time Online Singing Voice Separation from Monaural Recordings Using Robust Low-rank Modeling.,
Folksonomy-based Tag Recommendation for Online Audio Clip Sharing.,
Infinite Composite Autoregressive Models for Music Signal Analysis.,
Professionally-produced Music Separation Guided by Covers.,
Bayesian Nonnegative Harmonic-Temporal Factorization and Its Application to Multipitch Analysis.,
A Scape Plot Representation for Visualizing Repetitive Structures of Music Recordings.,
A Systematic Comparison of Music Similarity Adaptation Approaches.,
Using Hyper-genre Training to Explore Genre Information for Automatic Chord Estimation.,
Semi-supervised NMF with Time-frequency Annotations for Single-channel Source Separation.,
Neon.js: Neume Editor Online.,
Modeling Chord and Key Structure with Markov Logic.,
A Geometric Language for Representing Structure in Polyphonic Music.,True
Unsupervised Learning of Local Features for Music Classification.,
Modeling Piano Interpretation Using Switching Kalman Filter.,
Interpreting Rhythm in Optical Music Recognition.,
Assigning a Confidence Threshold on Automatic Beat Annotation in Large Datasets.,True
A Corpus-based Study of Rhythm Patterns.,
"One in the Jungle: Downbeat Detection in Hardcore, Jungle, and Drum and Bass.",
A MIREX Meta-analysis of Hubness in Audio Music Similarity.,
How Significant is Statistically Significant? The case of Audio Music Similarity and Retrieval.,
Statistical Characterisation of Melodic Pitch Contours and its Application for Melody Extraction.,
Detecting Melodic Motifs from Audio for Hindustani Classical Music.,
Characterization of Intonation in Carnatic Music by Parametrizing Pitch Histograms.,
Discriminative Non-negative Matrix Factorization for Multiple Pitch Estimation.,
A Feature Relevance Study for Guitar Tone Classification.,
String Methods for Folk Tune Genre Classification.,
A Turkish Makam Music Symbolic Database for Music Information Retrieval: SymbTr.,
Polyphonic Music Classification on Symbolic Data Using Dissimilarity Functions.,
"Semiotic Structure Labeling of Music Pieces: Concepts, Methods and Annotation Conventions.",
Large-Scale Cover Song Recognition Using the 2D Fourier Transform Magnitude.,
Creating Ground Truth for Audio Key Finding: When the Title Key May Not Be the Key.,
Understanding User Requirements for Music Information Services.,
