titles,code
"On Cultural, Textual and Experiential Aspects of Music Mood.",
"Sparse Cepstral, Phase Codes for Guitar Playing Technique Classification.",
Automated Detection of Single- and Multi-Note Ornaments in Irish Traditional Flute Playing.,
The Kiki-Bouba Challenge: Algorithmic Composition for Content-based MIR Research and Development.,True
Transfer Learning by Supervised Pre-training for Audio-based Music Classification.,
Estimating Musical Time Information from Performed MIDI Files.,True
Estimation of the Direction of Strokes and Arpeggios.,
Predicting Expressive Dynamics in Piano Performances using Neural Networks.,
An RNN-based Music Language Model for Improving Automatic Music Transcription.,
Towards Modeling Texture in Symbolic Data.,
Computational Models for Perceived Melodic Similarity in A Cappella Flamenco Singing.,
The VIS Framework: Analyzing Counterpoint in Large Datasets.,
Hierarchical Approach to Detect Common Mistakes of Beginner Flute Players.,
Robust Joint Alignment of Multiple Versions of a Piece of Music.,
Formalizing the Problem of Music Description.,
An Association-based Approach to Genre Classification in Music.,
Multiple Viewpiont Melodic Prediction with Fixed-Context Neural Networks.,
Verovio: A library for Engraving MEI Music Notation into SVG.,
Music Classification by Transductive Learning Using Bipartite Heterogeneous Networks.,
Automatic Melody Transcription based on Chord Transcription.,
Audio-to-score Alignment at the Note Level for Orchestral Recordings.,
A Compositional Hierarchical Model for Music Information Retrieval.,
An Analysis and Evaluation of Audio Features for Multitrack Music Mixtures.,
Detecting Drops in Electronic Dance Music: Content based approaches to a socially significant music event.,
Towards Automatic Content-Based Separation of DJ Mixes into Single Tracks.,True
MedleyDB: A Multitrack Dataset for Annotation-Intensive MIR Research.,
Melody Extraction from Polyphonic Audio of Western Opera: A Method based on Detection of the Singer's Formant.,
Codebook-based Scalable Music Tagging with Poisson Matrix Factorization.,True
Template Adaptation for Improving Automatic Music Transcription.,
Note-level Music Transcription by Maximum Likelihood Sampling.,
Drum Transcription via Classification of Bar-Level Rhythmic Patterns.,
Developing Tonal Perception through Unsupervised Learning.,
Exploiting Instrument-wise Playing/Non-Playing Labels for Score Synchronization of Symphonic Music.,
Multi-Strategy Segmentation of Melodies.,
A Data Set for Computational Studies of Schenkerian Analysis.,
Systematic Multi-scale Set-class Analysis.,True
Spotting a Query Phrase from Polyphonic Music Audio Signals Based on Semi-supervised Nonnegative Matrix Factorization.,
Bayesian Audio Alignment based on a Unified Model of Music Composition and Performance.,
Automatic Set List Identification and Song Segmentation for Full-Length Concert Videos.,
On Inter-rater Agreement in Audio Music Similarity.,
Emotional Predisposition of Musical Instrument Timbres with Static Spectra.,
Panako - A Scalable Acoustic Fingerprinting System Handling Time-Scale and Pitch Modification.,True
Perceptual Analysis of the F-Measure to Evaluate Section Boundaries in Music.,
Keyword Spotting in A-capella Singing.,
The Importance of F0 Tracking in Query-by-singing-humming.,True
Vocal Separation using Singer-Vowel Priors Obtained from Polyphonic Audio.,
Improving Query by Tapping via Tempo Alignment.,
Automatic Instrument Classification of Ethnomusicological Audio Recordings.,
Music Analysis as a Smallest Grammar Problem.,
Frame-Level Audio Segmentation for Abridged Musical Works.,
Creating a Corpus of Jingju (Beijing Opera) Music and Possibilities for Melodic Analysis.,
Modeling Temporal Structure in Music for Emotion Prediction using Pairwise Comparisons.,
Musical Structural Analysis Database Based on GTTM.,
Theoretical Framework of A Computational Model of Auditory Memory for Music Emotion Recognition.,
Improving Music Structure Segmentation using lag-priors.,
Study of the Similarity between Linguistic Tones and Melodic Pitch Contours in Beijing Opera Singing.,
A Proximity Grid Optimization Method to Improve Audio Search for Sound Design.,
Introducing a Dataset of Emotional and Color Responses to Music.,
In-depth Motivic Analysis based on Multiparametric Closed Pattern and Cyclic Sequence Mining.,True
MIR_EVAL: A Transparent Implementation of Common MIR Metrics.,True
Computational Modeling of Induced Emotion Using GEMS.,
Cognition-inspired Descriptors for Scalable Cover Song Retrieval.,
A Cross-Cultural Study on the Mood of K-POP Songs.,
Cadence Detection in Western Traditional Stanzaic Songs using Melodic and Textual Features.,
Discovering Typical Motifs of a Raga from One-Liners of Songs in Carnatic Music.,
Analyzing Song Structure with Spectral Clustering.,
