titles,code
Multiscale Approaches To Music Audio Feature Learning.,
Transfer Learning In Mir: Sharing Learned Latent Representations For Music Audio Classification And Similarity.,
A Distributed Model For Multiple-Viewpoint Melodic Prediction.,
Learning Rhythm And Melody Features With Deep Belief Networks.,
A Comparative Study Of Indian And Western Music Forms.,
Swara Histogram Based Structural Analysis And Identification Of Indian Classical Ragas.,
Combining Modeling Of Singing Voice And Background Music For Automatic Separation Of Musical Mixtures.,
On Finding Symbolic Themes Directly From Audio Files Using Dynamic Programming.,
"Towards Light-Weight, Real-Time-Capable Singing Voice Detection.",
The Use Of Melodic Scales In Bollywood Music: An Empirical Study.,
Bilevel Sparse Models for Polyphonic Music Transcription.,
JProductionCritic: An Educational Tool for Detecting Technical Errors in Audio Mixes.,
Combining Timbric and Rhythmic Features for Semantic Music Tagging.,
The Audio Degradation Toolbox and Its Application to Robustness Evaluation.,YES
Do Online Social Tags Predict Perceived or Induced Emotional Responses to Music?,
A Video Compression-Based Approach to Measure Music Structural Similarity.,
Dunya: A System to Browse Audio Music Collections Exploiting Cultural Context.,
An Analysis of Chorus Features in Popular Song.,
Visual Humdrum-Library for PWGL.,YES
Source Separation of Polyphonic Music with Interactive User-Feedback on a Piano Roll Display.,
Optical Measure Recognition in Common Music Notation.,YES
Musicbrainz for The World: The Chilean Experience.,YES
Influences of ISMIR and MIREX Research on Technology Patents.,
Toward Understanding Expressive Percussion Through Content Based Analysis.,
Data Driven and Discriminative Projections for Large-Scale Cover Song Identification.,YES
"Simultaneous Unsupervised Learning of Flamenco Metrical Structure, Hypermetrical Structure, and Multipart Structural Relations.",
A Corpus-Based Study on Ragtime Syncopation.,
A Computational Comparison of Theory And Practice of Scale Intonation in Byzantine Chant.,
Score Informed Tonic Identification for Makam Music of Turkey.,
Placing Music Artists and Songs in Time Using Editorial Metadata and Web Mining Techniques.,YES
The Million Musical Tweet Dataset - What We Can Learn From Microblogs.,
Verifying Music Tag Annotation Via Association Analysis.,
The Role of Audio and Tags in Music Mood Prediction: A Study Using Semantic Layer Projection.,
Converting Path Structures Into Block Structures Using Eigenvalue Decompositions of Self-Similarity Matrices.,
The Audio Effects Ontology.,
Exploration of Music Emotion Recognition Based on MIDI.,
Rhythmic Pattern Modeling for Beat and Downbeat Tracking in Musical Audio.,
Large-Scale Cover Song Identification Using Chord Profiles.,
Automatically Identifying Vocal Expressions for Music Transcription.,
Hooked: A Game For Discovering What Makes Music Catchy.,
Hierarchical Classification of Carnatic Music Forms.,
A Simple Fusion Method of State And Sequence Segmentation for Music Structure Discovery.,
Evaluating The Quality of Generated Playlists Based on Hand-Crafted Samples.,
Explicit Duration Hidden Markov Models for Multiple-Instrument Polyphonic Music Transcription.,
A Comprehensive Online Database of Machine-Readable Lead-Sheets for Jazz Standards.,
MeUse: Recommending Internet Radio Stations.,
Improved Audio Classification Using a Novel Non-Linear Dimensionality Reduction Ensemble Approach.,
A Study of Ensemble Synchronisation Under Restricted Line of Sight.,
Groove Kernels as Rhythmic-Acoustic Motif Descriptors.,
Instrument Identification Informed Multi-Track Mixing.,
Tempo Detection of Urban Music Using Tatum Grid Non Negative Matrix Factorization.,
A Study of Cultural Dependence of Perceived Mood in Greek Music.,
Evaluation on Feature Importance for Favorite Song Detection.,
QBT-Extended: An Annotated Dataset of Melodically Contoured Tapped Queries.,
Audio Chord Recognition with Recurrent Neural Networks.,
Virtualband: Interacting with Stylistically Consistent Agents.,
Sparse Modeling for Artist Identification: Exploiting Phase Information and Vocal Separation.,
Automatic Transcription of Turkish Makam Music.,
Local Group Delay Based Vibrato and Tremolo Suppression for Onset Detection.,
Beyond NMF: Time-Domain Audio Source Separation without Phase Reconstruction.,
Beta Process Sparse Nonnegative Matrix Factorization for Music.,YES
Semi-Supervised Polyphonic Source Identification using PLCA Based Graph Clustering.,
An Experiment about Estimating the Number of Instruments in Polyphonic Music: A Comparison Between Internet and Laboratory Results.,
Social-EQ: Crowdsourcing an Equalization Descriptor Map.,
