titles,code
An Auditory Streaming Approach for Melody Extraction from Polyphonic Music.,
An Acoustic-Phonetic Approach to Vocal Melody Extraction.,1.0
A System for Evaluating Singing Enthusiasm for Karaoke.,
"Automatic Assessment of Singer Traits in Popular Music: Gender, Age, Height and Race.",1.0
A Preplexity Based Cover Song Matching System for Short Length Queries.,
Humming Method for Content-Based Music Information Retrieval.,
Large-scale music similarity search with spatial trees.,
A simple-cycles weighted kernel based on harmony structure for similarity retrieval.,
HarmTrace: Improving Harmonic Similarity Estimation Using Functional Harmony Analysis.,
Adapting Metrics for Music Similarity Using Comparative Ratings.,
Using Mutual Proximity to Improve Content-Based Audio Similarity.,
Learning the Similarity of Audio Music in Bag-of-frames Representation from Tagged Music Data.,
"Compression-based Similarity Measures in Symbolic, Polyphonic Music.",
How Much Metadata Do We Need in Music Recommendation? A Subjective Evaluation Using Preference Sets.,
NextOne Player: A Music Recommendation System Based on User Behavior.,
How Similar Is Too Similar?: Exploring Users' Perceptions of Similarity in Playlist Evaluation.,
A Real-Time Signal Processing Framework of Musical Expressive Feature Extraction Using Matlab.,
A Scalable Audio Fingerprint Method with Robustness to Pitch-Shifting.,
A Re-ordering Strategy for Accelerating Index-based Audio Fingerprinting.,
Fast Hamming Space Search for Audio Fingerprinting Systems.,
"Segmentation, Clustering, and Display in a Personal Audio Database for Musicians.",
An Interactive System for Electro-Acoustic Music Analysis.,
A Multicultural Approach in Music Information Research.,
Assessing the Tuning of Sung Indian Classical Music.,
A Computational Investigation of Melodic Contour Stability in Jewish Torah Trope Performance Traditions.,
Tarsos - a Platform to Explore Pitch Scales in Non-Western and Western Music.,
A Classification-Based Polyphonic Piano Transcription Approach Using Learned Feature Representations.,
Constrained Spectrum Generation Using A Probabilistic Spectrum Envelope for Mixed Music Analysis.,
Pulse Detection in Syncopated Rhythms Using Neural Oscillators.,
A Two-Fold Dynamic Programming Approach to Beat Tracking for Audio Music with Time-Varying Tempo.,
Tempo Estimation Based on Linear Prediction and Perceptual Modelling.,
A Transient Detection Algorithm for Audio Using Iterative Analysis of STFT.,
Modeling Musical Attributes to Characterize Two-Track Recordings with Bass and Drums.,
Chroma Toolbox: Matlab Implementations for Extracting Variants of Chroma-Based Audio Features.,
A Comparison of Statistical and Rule-Based Models for Style-Specific Harmonization.,
Melody Extraction based on Harmonic Coded Structure.,
Timbre and Melody Features for the Recognition of Vocal Activity and Instrumental Solos in Polyphonic Music.,
Quantifying the Relevance of Locally Extracted Information for Musical Instrument Recognition from Entire Pieces of Music.,
Score-Informed Voice Separation For Piano Recordings.,
A Postprocessing Technique for Improved Harmonic/Percussion Separation for Polyphonic Music.,
Factorization of Overlapping Harmonic Sounds Using Approximate Matching Pursuit.,
Computational Approaches for the Understanding of Melody in Carnatic Music.,
Modeling Melodic Improvisation in Turkish Folk Music Using Variable-Length Markov Models.,
Iranian Traditional Music Dastgah Classification.,
"The Temperament Police: The Truth, the Ground Truth, and Nothing but the Truth.",
Methodology and Resources for The Structural Segmentation of Music Pieces into Autonomous and Comparable Blocks.,
The Music Encoding Initiative as a Document-Encoding Framework.,
Low Dimensional Visualization of Folk Music Systems Using the Self Organizing Cloud.,
New Approaches to Optical Music Recognition.,
Songle: A Web Service for Active Music Listening Improved by User Contributions.,
Improving Perceptual Tempo Estimation with Crowd-Sourced Annotations.,
Investigating the Similarity Space of Music Artists on the Micro-Blogosphere.,
Musical Influence Network Analysis and Rank of Sample-Based Music.,
User studies in the Music Information Retrieval Literature.,
Social Capital and Music Discovery: An Examination of the Ties through Which Late Adolescents Discover New Music.,
MIR in School? Lessons from Ethnographic Observation of Secondary School Music Classes.,
Ethnographic Observations of Musicologists at the British Library: Implications for Music Information Retrieval.,
Peachnote: Music Score Search and Analysis Platform.,
The Melodic Signature Index for Fast Content-based Retrieval of Symbolic Scores Camelia Constantin.,
Dynamic Programming in Transposition and Time-Warp Invariant Polyphonic Content-Based Music Retrieval.,
Rhythm Extraction from Polyphony Symbolic Music.,
Complexity Driven Recombination of MIDI Loops.,
Feature Extraction and Machine Learning on Symbolic Music using the music21 Toolkit.,
Probabilistic Modeling of Hierarchical Music Analysis.,
Neo-Riemannian Cycle Detection with Weighted Finite-State Transducers.,
Using Sequence Alignment and Voting to Improve Optical Music Recognition from Multiple Recognizers.,
OCR based post processing of OMR for the recovery of transposing instruments in complex orchestral scores.,
Classifying Bach's Handwritten C-Clefs.,
Automatic Pitch Detection in Printed Square Notation.,
Associations between Musicology and Music Information Retrieval.,
Potential Relationship Discovery in Tag-Aware Music Style Clustering and Artist Social Networks.,
Using Network Sciences to Rank Musicians and Composers in Brazilian Popular Music.,
Finding Community Structure in Music Genres Networks.,
"Guitar Tab Mining, Analysis and Ranking.",
A Musical Web Mining and Audio Feature Extraction Extension to The Greenstone Digital Library Software.,
Knowledge Representation Issues in Musical Instrument Ontology Design.,
The Studio Ontology Framework.,
Music Structural Segmentation by Combining Harmonic and Timbral Information.,
A Regularity-Constrained Viterbi Algorithm and Its Application to The Structural Segmentation of Songs.,
Structural Change on Multiple Time Scales as a Correlate of Musical Complexity.,1.0
l1-Graph Based Music Structure Analysis.,
Causal Prediction of Continuous-Valued Music Features.,
Exemplar-based Assignment of Large Missing Audio Parts using String Matching on Tonal Features.,
Aligning Semi-Improvised Music Audio with Its Lead Sheet.,
Expressive Timing from Cross-Performance and Audio-based Alignment Patterns: An Extended Case Study.,
Incremental Bayesian Audio-to-Score Alignment with Flexible Harmonic Structure Models.,
Stochastic Modeling of a Musical Performance with Expressive Representations from the Musical Score.,
The Natural Language of Playlists.,
"On the Importance of ""Real"" Audio Data for MIR Algorithm Evaluation at the Note-Level - A Comparative Study.",
A Comparative Study of Collaborative vs. Traditional Musical Mood Annotation.,
Design and creation of a large-scale database of structural annotations.,
Music Structure Segmentation Algorithm Evaluation: Expanding on MIREX 2010 Analyses and Datasets.,
Music Information Robotics: Coping Strategies for Musically Challenged Robots.,
The potential for automatic assessment of trumpet tone quality.,
Elementary Sources: Latent Component Analysis for Music Composition.,
Cross-Modal Aesthetics from A Feature Extraction Perspective: A Pilot Study.,
The Million Song Dataset.,1.0
Audio Music Similarity and Retrieval: Evaluation Power and Stability.,
MusiCLEF: a Benchmark Activity in Multimodal Music Information Retrieval.,
Information Retrieval Meta-Evaluation: Challenges and Opportunities in the Music Domain.,
A Segment-Based Fitness Measure for Capturing Repetitive Structures of Music Recordings.,
Analysis of Acoustic Features for Automated Multi-Track Mixing.,
Accelerating The Mixing Phase In Studio Recording Productions By Automatic Audio Alignment.,
An Expert Ground Truth Set for Audio Chord Recognition and Music Analysis.,
Leveraging Noisy Online Databases for Use in Chord Recognition.,
A Vocabulary-Free Infinity-Gram Model for Nonparametric Bayesian Chord Progression Analysis.,
A Feature Smoothing Method for Chord Recognition Using Recurrence Plots.,
Multiscale Scattering for Audio Classification.,
Multi-scale temporal fusion by boosting for music classification.,
Audio-based Music Classification with a Pretrained Convolutional Network.,
Music Genre Classification by Ensembles of Audio and Lyrics Features.,
Unsupervised Learning of Sparse Features for Scalable Audio Classification.,
